Kanji,Romaji
野菊,nogiku
脚本,kyakuhon
三脚,sankyaku
脚光,kyakkou
救済,kyuusai
救い,sukui
救急,kyuukyuu
地球,chikyuu
地球人,chikyuujin
野球,yakyuu
謙虚,kenkyo
虚構,kyokou
虚像,kyozou
許可,kyoka
特許,tokkyo
免許,menkyo
金魚,kingyo
人魚,ningyo
雑魚,zako
勉強,benkyou
強い,tsuyoi
強化,kyouka
教え,oshie
教育,kyouiku
教授,kyouju
故郷,furusato
郷土,kyoudo
郷里,kyouri
細菌,saikin
殺菌,sakkin
乳酸菌,nyuusankin
危惧,kigu
偶然,guuzen
配偶,haiguu
偶数,guusuu
発掘,hakkutsu
採掘,saikutsu
掘る,horu
啓発,keihatsu
啓蒙,keimou
啓示,keiji
掲載,keisai
掲出,keishutsu
掲示板,keijiban
渓谷,keikoku
渓流,keiryuu
雪渓,sekkei
経験,keiken
経済,keizai
経営,keiei
蛍光,keikou
蛍烏賊,hotaruika
健康,kenkou
健全,kenzen
保健,hoken
危険,kiken
保険,hoken
冒険,bouken
現在,genzai
表現,hyougen
現実,genjitsu
舷側,gensoku
健康,kenkou
不健康,fukenkou
小康,shoukou,lull
控え,hikae
控えめ,hikaeme
控除,koujo
梗塞,kousoku
心筋梗塞,shinkinkousoku
桔梗,kikyou
黄色,kiiro
黄金,ougon
黄色い,kiiroi
黒い,kuroi
黒人,kokujin
真っ黒,makkuro
今頃,imagoro
近頃,chikagoro
年頃,toshigoro
結婚,kekkon,marriage
結婚式,kekkonshiki
離婚,rikon,divorce
混乱,konran
混雑,konzatsu
混合,kongou
痕跡,konseki
血痕,kekkon,bloodstain
弾痕,dankon
紺色,kon'iro
紺屋,kouya,dyer
紺碧,konpeki
多彩,tasai
色彩,shikisai
彩り,irodori
採用,saiyou
採取,saishu
採択,saitaku
経済,keizai
済み,zumi
済む,sumu
祭神,saijin
祭典,saiten
後の祭り,atonomatsuri
書斎,shosai
斎場,saijou
詳細,shousai
細かい,komakai
細胞,saibou
野菜,yasai
菜の花,nanohana
白菜,hakusai
埼玉,saitama
長崎,nagasaki
川崎,kawasaki
州崎,susaki
悲惨,hisan
惨事,sanji
惨状,sanjou
生産,seisan
産業,sangyou
資産,shisan
斬新,zanshin
斬る,kiru
試し斬り,tameshigiri
視点,shiten
無視,mushi
視聴,shichou
馬鹿,baka
馬鹿馬鹿しい,bakabakashii
小馬鹿,kobaka
執筆,shippitsu
執行,shikkou
執着,shuuchaku
捨てる,suteru
使い捨て,tsukaisute
切り捨て,kirisute
容赦,yousha
恩赦,onsha
赦免,shamen
斜め,naname
斜面,shamen
傾斜,keisha
長蛇,chouda
蛇足,dasoku
蛇口,jaguchi
解釈,kaishaku
釈放,shakuhou
釈迦,shaka
寂しい,sabishii
静寂,seijaku
寂寥,sekiryou
授業,jugyou
教授,kyouju
伝授,denju
終了,shuuryou
終わり,owari
最終,saishuu
羞恥,shuuchi
羞恥心,shuuchishin
含羞,ganshuu
練習,renshuu
学習,gakushuu
習慣,shuukan
週間,shuukan
今週,konshuu
先週,senshuu
渋滞,juutai
渋い,shibui
渋々,shibushibu
宿泊,shukuhaku
宿題,shukudai
合宿,gasshuku
淑女,shukujo
私淑,shishuku
自粛,jishuku
厳粛,genshuku
静粛,seishuku
技術,gijutsu
芸術,geijutsu
手術,shujutsu
庶民,shomin
庶務,shomu
合唱,gasshou
提唱,teishou
唱える,tonaeru
商品,shouhin
商店,shouten
商売,shoubai
交渉,koushou
干渉,kanshou
渉外,shougai
文章,bunshou
楽章,gakushou
勲章,kunshou
紹介,shoukai
紹興酒,shoukoushu
訴訟,soshou
過剰,kajou
余剰,yojou
剰余,jouyo
非常,hijou
通常,tsuujou
常に,tsuneni
情報,jouhou
感情,kanjou
事情,jijou
深い,fukai
深夜,shin'ya
興味深い,kyoumibukai
紳士,shinshi
進化,shinka
進行,shinkou
進む,susumu
推進,suishin
推測,suisoku
推定,suitei
麻酔,masui
酔い,yoi
馬酔木,asebi
崇拝,suuhai
崇高,suukou
崇敬,suukei
据え置き,sueoki
見据える,misueru
据える,sueru
清水,shimizu
清掃,seisou
清潔,seiketsu
盛り上がり,moriagari
盛り,sakari
盛ん,sakan
惜しい,oshii
惜しくも,oshikumo
惜しむ,oshimu
親戚,shinseki
責任,sekinin
責め,seme
無責任,musekinin
接続,setsuzoku
直接,chokusetsu
面接,mensetsu
設定,settei
施設,shisetsu
設計,sekkei
大雪,ooyuki
雪山,yukiyama
吹雪,fubuki
旋律,senritsu
旋回,senkai
凱旋,gaisen
宇宙船,uchuusen
船長,senchou
風船,fuusen
措置,sochi
措辞,soji
措く,oku
粗末,somatsu
粗い,arai
お粗末,osomatsu
番組,bangumi
組織,soshiki
組み合わせ,kumiawase
巣立ち,sudachi
古巣,furusu
卵巣,ransou
掃除,souji
清掃,seisou
一掃,issou
軍曹,gunsou
重曹,juusou
曹洞宗,soutoushuu
爽やか,sawayaka
爽快,soukai
颯爽,sassou
窓口,madoguchi
同窓会,dousoukai
窓際,madogiwa
側面,sokumen
右側,migigawa
内側,uchigawa
家族,kazoku
民族,minzoku
水族館,suizokukan
効率,kouritsu
確率,kakuritsu
比率,hiritsu
固唾,katazu
唾液,daeki
生唾,namatsuba
堆積,taiseki
堆肥,taihi
手袋,tebukuro
福袋,fukubukuro
寝袋,nebukuro
逮捕,taiho
次第,shidai
次第に,shidaini
第三者,daisansha
脱毛,datsumou
脱出,dasshutsu
離脱,ridatsu
探す,sagasu
探偵,tantei
探索,tansaku
淡々,tantan
淡い,awai
濃淡,noutan
判断,handan
診断,shindan
決断,ketsudan
窒素,chisso
窒息,chissoku
著者,chosha
著作,chosaku
著書,chosho
手帳,techou
通帳,tsuuchou
蚊帳,kaya
主張,shuchou
緊張,kinchou
頑張り,ganbari
彫刻,choukoku
浮き彫り,ukibori
彫り,hori
眺め,nagame
眺める,nagameru
眺望,choubou
釣り,tsuri
釣果,chouka
お釣り,otsuri
頂く,itadaku
頂ける,itadakeru
山頂,sanchou
花鳥,kachou
鳥肌,torihada
白鳥,hakuchou
陳列,chinretsu
新陳代謝,shinchintaisha
陳腐,chinpu
停止,teishi
停電,teiden
バス停,basutei
探偵,tantei
偵察,teisatsu
笛吹,fuefuki
口笛,kuchibue
篠笛,shinobue
添付,tenpu
添加,tenka
添削,tensaku
運転,unten
自転車,jitensha
回転,kaiten
京都,kyouto
都市,toshi
都合,tsugou
追悼,tsuitou
哀悼,aitou
悼む,itamu
盗難,tounan
強盗,goutou
盗む,nusumu
陶器,touki
鬱陶しい,uttoushii
陶酔,tousui
活動,katsudou
移動,idou
行動,koudou
堂々,doudou
食堂,shokudou
講堂,koudou
納得,nattoku
取得,shutoku
得る,uru
豚肉,butaniku
豚まん,butaman
豚汁,tonjiru
貪欲,don'yoku
貪る,musaboru
山梨,yamanashi
洋梨,younashi
花梨,karin
柔軟,juunan
軟骨,nankotsu
軟弱,nanjaku
捻出,nenshutsu
捻挫,nenza
捻り,hineri
粘土,nendo
粘り,nebari
粘着,nenchaku
洗脳,sennou
首脳,shunou
脳裏,nouri
老婆,rouba
娑婆,shaba
婆さん,baasan
排除,haijo
排出,haishutsu
排気,haiki
失敗,shippai
腐敗,fuhai
敗戦,haisen
栽培,saibai
培養,baiyou
培う,tsuchikau
陪審,baishin
陪席,baiseki
船舶,senpaku
舶来,hakurai
販売,hanbai
市販,shihan
量販,ryouhan
投票,touhyou
伝票,denpyou
得票,tokuhyou
描く,egaku
描写,byousha
描画,byouga
子猫,koneko
野良猫,noraneko
猫背,nekoze
貧困,hinkon
貧乏,binbou
貧しい,mazushii
瓶詰め,binzume
花瓶,kabin
小瓶,kobin
夫婦,fuufu
主婦,shufu
婦人,fujin
切符,kippu
音符,onpu
符号,fugou
部分,bubun
部屋,heya
一部,ichibu
副作用,fukusayou
副業,fukugyou
副題,fukudai
閉鎖,heisa
閉店,heiten
閉じる,tojiru
偏見,henken
偏り,katayori
偏差,hensa
崩壊,houkai
崩れ,kuzure
崩れる,kuzureru
訪問,houmon
訪れ,otozure
訪れる,otozureru
希望,kibou
要望,youbou
絶望,zetsubou
堀江,horie
外堀,sotobori
堀川,horikawa
麻痺,mahi
麻薬,mayaku
麻酔,masui
秘密,himitsu
密度,mitsudo
厳密,genmitsu
業務,gyoumu
事務所,jimusho
事務,jimu
猛烈,mouretsu
猛暑,mousho
猛者,mosa
問題,mondai
質問,shitsumon
疑問,gimon
野菜,yasai
分野,bun'ya
野球,yakyuu
翻訳,hon'yaku
申し訳,moushiwake
言い訳,iiwake
唯一,yuiitsu
唯物,yuibutsu
唯々,ii
悠々,yuuyuu
悠長,yuuchou
悠久,yuukyuu
郵便,yuubin
郵送,yuusou
郵政,yuusei
凡庸,bon'you
中庸,chuuyou
欲しい,hoshii
食欲,shokuyoku
意欲,iyoku
翌日,yokujitsu
翌朝,yokuasa
翌年,yokunen
理解,rikai
理由,riyuu
管理,kanri
大陸,tairiku
陸上,rikujou
上陸,jouriku
戦略,senryaku
省略,shouryaku
中略,chuuryaku
粒子,ryuushi
大粒,ootsubu
微粒子,biryuushi
隆盛,ryuusei
隆起,ryuuki
興隆,kouryuu
涼しい,suzushii
涼しげ,suzushige
清涼,seiryou
狩猟,shuryou
猟奇,ryouki
密猟,mitsuryou
丘陵,kyuuryou
陵辱,ryoujoku
陵墓,ryoubo
累計,ruikei
累積,ruiseki
累々,ruirui
把握,haaku
握り,nigiri
握手,akushu
砂嵐,sunaarashi
青嵐,aoarashi
磁気嵐,jikiarashi
偉大,idai
偉い,erai
偉人,ijin
椅子,isu
車椅子,kurumaisu
安楽椅子,anrakuisu
飲み,nomi
飲む,nomu
飲み物,nomimono
運動,undou
運転,unten
運営,un'ei
層雲,souun
雲行き,kumoyuki
雲泥の差,undeinosa
営業,eigyou
経営,keiei
運営,un'ei
諷詠,fuuei
詠む,yomu
題詠,daiei
越し,goshi
引っ越し,hikkoshi
お越し,okoshi
才媛,saien
支援,shien
応援,ouen
援助,enjo
奥さん,okusan
奥様,okusama
奥行き,okuyuki
温泉,onsen
気温,kion
温度,ondo
渦中,kachuu
渦巻く,uzumaku
渦巻き,uzumaki
過ぎ,sugi
過去,kako
過程,katei
年賀状,nengajou
祝賀,shukuga
年賀,nenga
絵画,kaiga
絵本,ehon
絵文字,emoji
開発,kaihatsu
公開,koukai
開催,kaisai
段階,dankai
階段,kaidan
階級,kaikyuu
街道,kaidou
市街地,shigaichi
街頭,gaitou
覚え,oboe
感覚,kankaku
覚悟,kakugo
役割,yakuwari
割合,wariai
割引,waribiki
葛藤,kattou
葛根,kakkon
葛餅,kuzumochi
寒い,samui
防寒,boukan
肌寒い,hadasamui
喚起,kanki
召喚,shoukan
喚く,wameku
堪能,tannou
堪える,koraeru
堪忍,kannin
交換,koukan
変換,henkan
転換,tenkan
敢えて,aete
敢行,kankou
勇敢,yuukan
石棺,sekkan
棺桶,kan'oke
納棺,noukan
定款,teikan
約款,yakkan
落款,rakkan
時間,jikan
人間,ningen
週間,shuukan
閑散,kansan
閑話休題,kanwakyuudai
閑古鳥,kankodori
喜び,yorokobi
喜ぶ,yorokobu
歓喜,kanki
幾つ,ikutsu
幾度,ikudo
幾ら,ikura
発揮,hakki
指揮,shiki
揮発,kihatsu
期待,kitai
時期,jiki
期間,kikan
将棋,shougi
棋士,kishi
棋譜,kifu
貴重,kichou
貴方,kihou
貴族,kizoku
詐欺,sagi
欺瞞,giman
欺く,azamuku
喫煙,kitsuen
満喫,mankitsu
喫茶店,kissaten
供給,kyoukyuu
給料,kyuuryou
補給,hokyuu
距離,kyori
長距離,choukyori
遠距離,enkyori
制御,seigyo
防御,bougyo
御飯,omanma
暁星,gyousei
春暁,shungyou
積極,sekkyoku
極めて,kiwamete
極端,kyokutan
通勤,tsuukin
勤務,kinmu
出勤,shukkin
琴線,kinsen
琴瑟,kinshitsu
大正琴,taishougoto
筋肉,kinniku
腹筋,fukkin
背筋,sesuji
遭遇,souguu
優遇,yuuguu
待遇,taiguu
片隅,katasumi
隅々,sumizumi
隅っこ,sumikko
尊敬,sonkei
敬意,keii
敬遠,keien
背景,haikei
風景,fuukei
景色,keshiki
軽い,karui
気軽,kigaru
手軽,tegaru
結果,kekka
結構,kekkou
結局,kekkyoku
圏内,kennai
圏外,kengai
大気圏,taikiken
中堅,chuuken
堅苦しい,katakurushii
堅牢,kenrou
検索,kensaku
検討,kentou
検査,kensa
減少,genshou
削減,sakugen
減らす,herasu
琵琶湖,biwako
湖畔,kohan
湖面,komen
雇用,koyou
解雇,kaiko
雇う,yatou
喉元,nodomoto
耳鼻咽喉科,jibiinkouka
咽喉,inkou
恐慌,kyoukou
慌ただしい,awatadashii
慌てる,awateru
空港,kuukou
香港,honkon
漁港,gyokou
硬い,katai
硬化,kouka
硬直,kouchoku
絞り,shibori
絞る,shiboru
絞り込み,shiborikomi
項目,koumoku
事項,jikou
条項,joukou
詐欺,sagi
詐称,sashou
詐取,sashu
最近,saikin
最後,saigo
最初,saisho
裁判,saiban
裁判所,saibansho
独裁,dokusai
対策,taisaku
政策,seisaku
散策,sansaku
ポン酢,ponzu
酢豚,subuta
酢酸,sakusan
傘下,sanka
日傘,higasa
番傘,bangasa
散歩,sanpo
拡散,kakusan
解散,kaisan
紫外線,shigaisen
紫陽花,ajisai
紫色,murasakiiro
歌詞,kashi
台詞,serifu
作詞,sakushi
歯医者,haisha
歯科,shika
虫歯,mushiba
滋養,jiyou
京滋,keiji
滋味,jimi
基軸,kijiku
同軸,doujiku
地軸,chijiku
湿度,shitsudo
湿気,shikke
加湿,kashitsu
雑煮,zouni
煮込み,nikomi
煮物,nimono
就職,shuushoku
就任,shuunin
就寝,shuushin
大衆,taishuu
公衆,koushuu
衆議院,shuugiin
編集,henshuu
集め,atsume
集中,shuuchuu
循環,junkan
悪循環,akujunkan
手順,tejun
順番,junban
順調,junchou
暑い,atsui
猛暑,mousho
蒸し暑い,mushiatsui
勝手,katte
優勝,yuushou
勝ち,kachi
合掌,gasshou
掌握,shouaku
車掌,shashou
液晶,ekishou
結晶,kesshou
水晶,suishou
焼き,yaki
燃焼,nenshou
焼く,yaku
焦点,shouten
焦り,aseri
焦る,aseru
硝子,garasu
硝酸,shousan
硝煙,shouen
化粧,keshou
厚化粧,atsugeshou
雪化粧,yukigeshou
詔書,shousho
証明,shoumei
保証,hoshou
検証,kenshou
印象,inshou
対象,taishou
現象,genshou
場合,baai
場所,basho
登場,toujou
石畳,ishidatami
四畳半,yojouhan
畳む,tatamu
植物,shokubutsu
移植,ishoku
植民,shokumin
繁殖,hanshoku
増殖,zoushoku
養殖,youshoku
森林,shinrin
大森,oomori
森羅万象,shinrabanshou
診断,shindan
診察,shinsatsu
診療,shinryou
尋ね,tazune
尋ねる,tazuneru
尋常,jinjou
必須,hissu
急須,kyuusu
遂に,tsuini
遂行,suikou
遂げる,togeru
随分,zuibun
随時,zuiji
随所,zuisho
花婿,hanamuko
婿養子,mukoyoushi
素晴らしい,subarashii
晴れ,hare
素晴らしく,subarashiku
税金,zeikin
課税,kazei
増税,zouzei
絶対,zettai
絶望,zetsubou
絶妙,zetsumyou
改善,kaizen
最善,saizen
偽善,gizen
自然,shizen
当然,touzen
全然,zenzen
疎開,sokai
過疎,kaso
疎い,utoi
訴え,uttae
訴訟,soshou
訴える,uttaeru
創造,souzou
創作,sousaku
創刊,soukan
喪失,soushitsu
喪服,mofuku
喪主,moshu
痩せ,yase
痩せる,yaseru
痩身,soushin
葬儀,sougi
葬式,soushiki
火葬,kasou
実装,jissou
装着,souchaku
装備,soubi
測定,sokutei
予測,yosoku
推測,suisoku
所属,shozoku
付属,fuzoku
属性,zokusei
尊敬,sonkei
尊重,sonchou
尊厳,songen
堕落,daraku
堕胎,datai
自堕落,jidaraku
怠惰,taida
惰性,dasei
惰眠,damin
切り替え,kirikae
替え,kae
代替,daitai
貸し,kashi
賃貸,chintai
貸し出し,kashidashi
自衛隊,jieitai
部隊,butai
軍隊,guntai
友達,tomodachi
達成,tassei
達し,tasshi
本棚,hondana
書棚,shodana
棚卸,tanaoroshi
短い,mijikai
短期,tanki
短歌,tanka
爆弾,bakudan
弾き,hajiki
弾く,hajiku
遅れ,okure
遅く,osoku
遅い,osoi
到着,touchaku
装着,souchaku
着く,tsuku
貯金,chokin
貯蓄,chochiku
貯蔵,chozou
今朝,kesa
朝食,choushoku
早朝,souchou
貼付,choufu
切り貼り,kiribari
超越,chouetsu
超過,chouka
超絶,chouzetsu
椎茸,shiitake
腰椎,youtsui
椎間板,tsuikanban
痛み,itami
痛い,itai
頭痛,zutsuu
貝塚,kaizuka
一里塚,ichirizuka
堤防,teibou
防波堤,bouhatei
突堤,tottei
提供,teikyou
提案,teian
前提,zentei
程度,teido
ある程度,aruteido
過程,katei
渡し,watashi
渡す,watasu
渡り,watari
鉄塔,tettou
司令塔,shireitou
砲塔,houtou
搭載,tousai
搭乗,toujou
病棟,byoutou
棟梁,touryou
別棟,betsumune
お湯,oyu
湯船,yubune
銭湯,sentou
天然痘,tennentou
登場,toujou
登録,touroku
登山,tozan
答え,kotae
回答,kaitou
答える,kotaeru
等々,toutou
同等,doutou
平等,byoudou
封筒,fuutou
気筒,kitou
水筒,suitou
大統領,daitouryou
伝統,dentou
統合,tougou
児童,jidou
童話,douwa
童貞,doutei
報道,houdou
道路,douro
北海道,hokkaidou
鈍い,nibui
鈍感,donkan
鈍化,donka
廃棄,haiki
廃止,haishi
廃墟,haikyo
媒体,baitai
媒介,baikai
触媒,shokubai
買う,kau
買い,kai
買い物,kaimono
博士,hakase
博物館,hakubutsukan
賭博,tobaku
斑点,hanten
紫斑,shihan
斑鳩,ikaru
ご飯,gohan
夕飯,yuuhan
御飯,omanma
昨晩,sakuban
毎晩,maiban
晩年,bannen
一番,ichiban
番組,bangumi
番号,bangou
野蛮,yaban
南蛮,nanban
蛮行,bankou
悲しい,kanashii
悲劇,higeki
悲しみ,kanashimi
門扉,monpi
扉絵,tobirae
消費,shouhi
費用,hiyou
経費,keihi
準備,junbi
装備,soubi
整備,seibi
筆者,hissha
執筆,shippitsu
鉛筆,enpitsu
評価,hyouka
評判,hyouban
好評,kouhyou
豊富,houfu
富士山,fujisan
富豪,fugou
普通,futsuu
普段,fudan
普及,fukyuu
大幅,oohaba
幅広い,habahiroi
増幅,zoufuku
回復,kaifuku
復活,fukkatsu
復興,fukkou
雰囲気,fun'iki
普遍,fuhen
遍路,henro
遍歴,henreki
候補,kouho
補助,hojo
補正,hosei
募集,boshuu
応募,oubo
募金,bokin
情報,jouhou
報告,houkoku
報道,houdou
傍ら,katawara
傍観,boukan
傍聴,bouchou
帽子,boushi
脱帽,datsubou
麦わら帽子,mugiwaraboushi
相棒,aibou
泥棒,dorobou
綿棒,menbou
貿易,boueki
満足,manzoku
不満,fuman
満載,mansai
無い,nai
無理,muri
無料,muryou
比喩,hiyu
暗喩,an'yu
隠喩,in'yu
愉快,yukai
不愉快,fuyukai
愉悦,yuetsu
湧き,waki
湧く,waku
湧き水,wakimizu
猶予,yuuyo
余裕,yoyuu
裕福,yuufuku
富裕,fuyuu
遊び,asobi
遊ぶ,asobu
遊園,yuuen
英雄,eiyuu
雄大,yuudai
雄弁,yuuben
揚げ,age
高揚,kouyou
揚げ物,agemono
揺れ,yure
揺れる,yureru
動揺,douyou
言葉,kotoba
千葉,chiba
紅葉,kouyou
太陽,taiyou
太陽光,taiyoukou
陽気,youki
連絡,renraku
絡み,karami
絡む,karamu
落ち,ochi
落とし,otoshi
落ちる,ochiru
下痢,geri
赤痢,sekiri
硫黄,iou
硫酸,ryuusan
硫安,ryuuan
大量,tairyou
容量,youryou
線量,senryou
盗塁,tourui
出塁,shutsurui
満塁,manrui
核分裂,kakubunretsu
分裂,bunretsu
炸裂,sakuretsu
廊下,rouka
回廊,kairou
画廊,garou
迷惑,meiwaku
惑星,wakusei
誘惑,yuuwaku
台湾,taiwan
湾岸,wangan
港湾,kouwan
腕時計,udedokei
手腕,shuwan
右腕,migiude
可愛い,kawaii
恋愛,ren'ai
愛する,aisuru
暗い,kurai
暗号,angou
暗殺,ansatsu
語彙,goi
意味,imi
意識,ishiki
意見,iken
違う,chigau
違い,chigai
間違い,machigai
公園,kouen
幼稚園,youchien
保育園,hoikuen
喫煙,kitsuen
煙草,tabako
禁煙,kin'en
犬猿,ken'en
猿楽,sarugaku
類人猿,ruijin'en
遠く,tooku
遠い,tooi
永遠,eien
鉛筆,enpitsu
色鉛筆,iroenpitsu
亜鉛,aen
塩分,enbun
塩味,shioaji
塩焼き,shioyaki
虞美人草,gubijinsou
嫁さん,yomesan
花嫁,hanayome
転嫁,tenka
休暇,kyuuka
暇つぶし,himatsubushi
余暇,yoka
禍根,kakon
惨禍,sanka
禍々しい,magamagashii
靴下,kutsushita
長靴,nagagutsu
革靴,kawagutsu
優雅,yuuga
風雅,fuuga
雅楽,gagaku
団塊,dankai
山塊,sankai
金塊,kinkai
理解,rikai
解決,kaiketsu
解説,kaisetsu
感慨,kangai
感慨深い,kangaibukai
憤慨,fungai
頭蓋骨,zugaikotsu
頭蓋,zugai
天蓋,tengai
該当,gaitou
当該,tougai
比較,hikaku
比較的,hikakuteki
較差,kakusa
間隔,kankaku
遠隔,enkaku
隔離,kakuri
音楽,ongaku
楽しみ,tanoshimi
楽しい,tanoshii
滑り,suberi
滑らか,nameraka
滑稽,kokkei
褐色,kasshoku
茶褐色,chakasshoku
赤褐色,sekkasshoku
勧め,susume
勧誘,kan'yuu
勧告,kankoku
寛容,kan'you
寛大,kandai
寛永,kan'ei
新幹線,shinkansen
幹事,kanji
幹部,kanbu
感じ,kanji
感じる,kanjiru
感覚,kankaku
漢字,kanji
漢詩,kanshi
漢方,kanpou
頑張り,ganbari
頑張る,ganbaru
頑張れ,ganbare
廃棄,haiki
放棄,houki
破棄,haki
毀損,kison
毀誉,kiyo
廃仏毀釈,haibutsukishaku
主義,shugi
定義,teigi
講義,kougi
詰め,tsume
缶詰,kanzume
詰まり,tsumari
嗅覚,kyuukaku
嗅ぐ,kagu
企業,kigyou
作業,sagyou
事業,jigyou
僅か,wazuka
僅差,kinsa
禁止,kinshi
禁煙,kin'en
解禁,kaikin
愚痴,guchi
愚か,oroka
愚直,guchoku
洞窟,doukutsu
巣窟,soukutsu
魔窟,makutsu
抜群,batsugun
群れ,mure
症候群,shoukougun
傾向,keikou
傾き,katamuki
傾ける,katamukeru
携帯,keitai
連携,renkei
提携,teikei
継続,keizoku
中継,chuukei
継承,keishou
初詣,hatsumoude
造詣,zoukei
参詣,sankei
隙間,sukima
間隙,kangeki
空隙,kuugeki
傑作,kessaku
傑出,kesshutsu
女傑,joketsu
嫌い,kirai
機嫌,kigen
嫌悪,ken'o
貢献,kouken
文献,bunken
献金,kenkin
絹ごし,kinugoshi
絹糸,kenshi
絹織物,kinuorimono
派遣,haken
無駄遣い,mudazukai
気遣い,kizukai
電源,dengen
資源,shigen
音源,ongen
誇り,hokori
誇る,hokoru
誇張,kochou
太鼓,taiko
鼓動,kodou
鼓舞,kobu
囲碁,igo
碁盤,goban
碁石,goishi
側溝,sokkou
海溝,kaikou
地溝,chikou
鉱山,kouzan
炭鉱,tankou
鉱物,koubutsu
傲慢,gouman
傲岸,gougan
債務,saimu
国債,kokusai
債権,saiken
開催,kaisai
主催,shusai
催し,moyooshi
閉塞,heisoku
要塞,yousai
梗塞,kousoku
歳月,saigetsu
歳旦,saitan
万歳,manzai
掲載,keisai
搭載,tousai
記載,kisai
犯罪,hanzai
謝罪,shazai
罪悪,zaiaku
搾取,sakushu
搾乳,sakunyuu
搾油,sakuyu
試し,tameshi
試合,shiai
試験,shiken
詩人,shijin
詩集,shishuu
短詩,tanshi
投資,toushi
資料,shiryou
資金,shikin
飼育,shiiku
飼い主,kainushi
飼う,kau
慈善,jizen
慈悲,jihi
慈愛,jiai
辞書,jisho
辞任,jinin
辞める,yameru
嫉妬,shitto
腫れ,hare
腫瘍,shuyou
浮腫,mukumi
郷愁,kyoushuu
哀愁,aishuu
憂愁,yuushuu
報酬,houshuu
応酬,oushuu
準備,junbi
基準,kijun
標準,hyoujun
署名,shomei
部署,busho
同署,dousho
損傷,sonshou
火傷,yakedo
負傷,fushou
推奨,suishou
奨励,shourei
奨学,shougaku
参照,sanshou
照明,shoumei
対照,taishou
詳細,shousai
詳しく,kuwashiku
詳しい,kuwashii
蒸し,mushi
蒸気,jouki
水蒸気,suijouki
飾り,kazari
装飾,soushoku
飾る,kazaru
触れ,fure
触れる,fureru
感触,kanshoku
寝る,neru
昼寝,hirune
就寝,shuushin
慎重,shinchou
不謹慎,fukinshin
謹慎,kinshin
新しい,atarashii
更新,koushin
新た,arata
腎臓,jinzou
副腎,fukujin
腎盂,jin'u
睡眠,suimin
睡魔,suima
熟睡,jukusui
複数,fukusuu
数字,suuji
多数,tasuu
裾野,susono
山裾,yamasuso
姿勢,shisei
勢い,ikioi
勢力,seiryoku
聖書,seisho
神聖,shinsei
聖なる,seinaru
誠に,makotoni
誠実,seijitsu
誠意,seii
奇跡,kiseki
遺跡,iseki
追跡,tsuiseki
摂取,sesshu
摂る,toru
摂理,setsuri
季節,kisetsu
節電,setsuden
節約,setsuyaku
戦争,sensou
戦略,senryaku
挑戦,chousen
二番煎じ,nibansenji
煎餅,senbei
煎茶,sencha
羨ましい,urayamashii
羨望,senbou
羨む,urayamu
甲状腺,koujousen
涙腺,ruisen
前立腺,zenritsusen
所詮,shosen
詮索,sensaku
詮無い,sennai
実践,jissen
座禅,zazen
禅宗,zenshuu
禅僧,zensou
可塑,kaso
僧侶,souryo
小僧,kozou
僧院,souin
想像,souzou
予想,yosou
感想,kansou
海賊,kaizoku
盗賊,touzoku
烏賊,ika
接続,setsuzoku
続ける,tsuzukeru
続く,tsuzuku
損失,sonshitsu
破損,hason
損害,songai
滞在,taizai
渋滞,juutai
停滞,teitai
滝川,takigawa
滝口,takiguchi
小滝,otaki
嘆き,nageki
嘆く,nageku
感嘆,kantan
暖かい,atatakai
温暖,ondan
暖か,atataka
愚痴,guchi
音痴,onchi
痴漢,chikan
幼稚園,youchien
稚拙,chisetsu
幼稚,youchi
位置,ichi
設置,setchi
放置,houchi
蓄積,chikuseki
貯蓄,chochiku
蓄え,takuwae
大腸,daichou
胃腸,ichou
浣腸,kanchou
跳ね,hane
跳ね上がる,haneagaru
跳ねる,haneru
賃金,chingin
賃貸,chintai
家賃,yachin
競艇,kyoutei
艦艇,kantei
舟艇,shuutei
溺れる,oboreru
耽溺,tandeki
溺死,dekishi
地下鉄,chikatetsu
鉄道,tetsudou
鉄板,teppan
宮殿,kyuuden
神殿,shinden
殿堂,dendou
電話,denwa
電車,densha
電源,dengen
塗り,nuri
塗装,tosou
塗る,nuru
労働,roudou
働き,hataraki
働く,hataraku
監督,kantoku
総督,soutoku
提督,teitoku
整頓,seiton
頓挫,tonza
無頓着,mutonchaku
農業,nougyou
農家,nouka
農薬,nouyaku
砂漠,sabaku
サハラ砂漠,saharasabaku
茫漠,boubaku
鉢植え,hachiue
植木鉢,uekibachi
小鉢,kobachi
搬入,hannyuu
運搬,unpan
搬送,hansou
煩雑,hanzatsu
煩悩,bonnou
煩わしい,wazurawashii
頒布,hanpu
微妙,bimyou
微か,kasuka
微量,biryou
福岡,fukuoka
幸福,koufuku
福祉,fukushi
お腹,onaka
腹筋,fukkin
満腹,manpuku
墓参り,hakamairi
墓地,bochi
墓場,hakaba
蜂蜜,hachimitsu
蜂起,houki
蜜蜂,mitsubachi
豊か,yutaka
豊富,houfu
豊作,housaku
飽き,aki
飽きる,akiru
飽和,houwa
親睦,shinboku
和睦,waboku
字幕,jimaku
開幕,kaimaku
幕府,bakufu
夢中,muchuu
夢見,yumemi
悪夢,akumu
同盟,doumei
連盟,renmei
加盟,kamei
